"listed_in_type","listed_in_city","online_order","book_table",".cluster","count_ofrestaurants","rate","votes","approx_cost_for_two_people","num_of_dish_liked","num_of_cuisines"
"Dine-out","BTM","Yes","Yes",7,1,4,1382,1100,7,6
"Dine-out","Indiranagar","Yes","Yes",7,1,4,1413,1500,7,5
"Dine-out","Kalyan Nagar","Yes","Yes",7,1,4,702,800,7,4
"Dine-out","Koramangala 4th Block","Yes","Yes",2,1,4,859,850,7,2
"Dine-out","Koramangala 7th Block","No","Yes",2,1,4,137,1000,1,3
"Dine-out","Malleshwaram","No","Yes",2,3,4,221.666666666667,1333.33333333333,2.33333333333333,2
"Dine-out","Residency Road","Yes","No",2,1,4,67,300,7,4
"Dine-out","Whitefield","No","Yes",2,5,4,202.2,1600,4,2
"Delivery","Banashankari","No","No",7,8,3.9875,468.25,543.75,6.375,3.625
"Cafes","BTM","Yes","No",4,22,3.98181818181818,251.181818181818,654.545454545455,4.18181818181818,2.81818181818182
"Delivery","Frazer Town","Yes","No",7,27,3.98148148148148,471.555555555556,607.407407407407,6.81481481481481,3.11111111111111
"Dine-out","Electronic City","No","Yes",5,5,3.98,252,1380,4.8,3.4
"Delivery","Basavanagudi","Yes","No",7,38,3.97894736842105,277.052631578947,472.368421052632,6.36842105263158,2.63157894736842
"Delivery","New BEL Road","Yes","No",7,14,3.97857142857143,385.428571428571,567.857142857143,6.57142857142857,2.85714285714286
"Buffet","Brigade Road","Yes","No",4,4,3.975,123.5,1375,5.5,2.5
"Pubs and bars","Brigade Road","Yes","No",7,4,3.975,165.5,512.5,6,3
"Delivery","BTM","Yes","No",7,191,3.97015706806283,426.586387434555,525.65445026178,6.30366492146597,2.87958115183246
"Delivery","Malleshwaram","No","No",7,3,3.96666666666667,256.666666666667,533.333333333333,6,1.66666666666667
"Delivery","Marathahalli","Yes","Yes",7,3,3.96666666666667,358.666666666667,900,7,3.66666666666667
"Delivery","Banashankari","Yes","No",7,82,3.95609756097561,391.024390243902,517.682926829268,6.63414634146341,2.98780487804878
"Buffet","Marathahalli","No","Yes",4,6,3.95,809,1333.33333333333,6,3.5
"Delivery","Koramangala 4th Block","Yes","Yes",7,2,3.95,243.5,950,7,2.5
"Desserts","Koramangala 5th Block","No","No",7,2,3.95,245,400,6.5,2
"Desserts","Lavelle Road","Yes","No",2,2,3.95,90,400,4,1.5
"Delivery","Church Street","No","No",7,2,3.95,316,425,7,2.5
"Delivery","Kalyan Nagar","No","No",7,10,3.95,159.8,585,5.8,2.9
"Delivery","Rajajinagar","Yes","No",7,10,3.95,446.7,475,5.4,2.7
"Delivery","Whitefield","Yes","No",7,15,3.94666666666667,406.933333333333,643.333333333333,6.06666666666667,3.4
"Delivery","Malleshwaram","Yes","No",7,81,3.94197530864198,354.259259259259,528.395061728395,6.58024691358025,2.95061728395062
"Delivery","Bannerghatta Road","Yes","No",7,93,3.93978494623656,401.451612903226,519.354838709677,6.75268817204301,2.82795698924731
"Delivery","Bannerghatta Road","No","No",7,8,3.9375,418.125,537.5,6.375,2.375
"Delivery","HSR","No","Yes",6,3,3.93333333333333,643.666666666667,616.666666666667,4.66666666666667,2
"Delivery","Kalyan Nagar","Yes","No",7,60,3.93333333333333,271.55,590,6.63333333333333,2.7
"Delivery","Bellandur","Yes","No",7,84,3.93095238095238,420.595238095238,602.738095238095,6.69047619047619,3.03571428571429
"Delivery","Indiranagar","Yes","No",7,85,3.91764705882353,394.152941176471,476.941176470588,6.58823529411765,2.56470588235294
"Delivery","Basavanagudi","No","No",7,6,3.91666666666667,356,708.333333333333,5.83333333333333,2
"Cafes","Malleshwaram","Yes","No",4,10,3.91,364.6,565,5.6,2.8
"Desserts","BTM","Yes","No",1,10,3.91,68.3,330,2.2,2
"Buffet","Banashankari","Yes","No",4,3,3.9,663.666666666667,733.333333333333,7,2.33333333333333
"Buffet","HSR","Yes","Yes",6,1,3.9,224,800,7,3
"Cafes","Bannerghatta Road","Yes","Yes",4,1,3.9,727,800,7,3
"Cafes","JP Nagar","No","No",4,1,3.9,144,550,7,3
"Cafes","Sarjapur Road","Yes","No",4,1,3.9,66,600,4,3
"Delivery","MG Road","Yes","No",7,1,3.9,87,450,6,3
"Delivery","New BEL Road","No","Yes",7,1,3.9,510,700,7,1
"Delivery","New BEL Road","Yes","Yes",7,4,3.9,153.5,950,4.5,3.75
"Desserts","Basavanagudi","Yes","No",1,3,3.9,55,283.333333333333,1,1.33333333333333
"Desserts","Jayanagar","Yes","No",7,2,3.9,100.5,450,5,3
"Desserts","JP Nagar","Yes","No",1,1,3.9,45,400,2,3
"Desserts","Koramangala 4th Block","Yes","No",1,1,3.9,68,400,1,2
"Desserts","Whitefield","Yes","No",1,3,3.9,31.6666666666667,433.333333333333,1.66666666666667,2.33333333333333
"Dine-out","Kammanahalli","Yes","No",2,2,3.9,187.5,750,6,3.5
"Dine-out","Koramangala 4th Block","No","No",7,2,3.9,1041.5,1350,7,3.5
"Dine-out","Koramangala 7th Block","Yes","No",2,1,3.9,654,450,7,2
"Dine-out","Rajajinagar","No","Yes",2,3,3.9,97.3333333333333,866.666666666667,3.33333333333333,3.66666666666667
"Pubs and bars","Brigade Road","Yes","No",1,6,3.9,49.5,291.666666666667,1.16666666666667,1.5
"Cafes","Brigade Road","Yes","No",4,22,3.89090909090909,303.454545454545,627.272727272727,5.40909090909091,3.45454545454545
"Dine-out","Indiranagar","No","Yes",2,7,3.88571428571429,136,985.714285714286,4.14285714285714,3.57142857142857
"Delivery","Bellandur","No","No",7,6,3.88333333333333,259.666666666667,633.333333333333,7,2.33333333333333
"Cafes","Brigade Road","No","Yes",4,4,3.875,600.75,887.5,6.5,3
"Delivery","Electronic City","No","Yes",5,3,3.86666666666667,590.333333333333,1116.66666666667,5,4
"Delivery","Indiranagar","No","No",7,20,3.865,431.05,502.5,6.7,2.6
